玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
永恒之塔,10层,388.0,base,tower,8.539795,7.100995,7.566373,5.003485,13.351112,1.0,6.878333,
永恒之塔,10层,388.0,search,tower,7.292575,6.283652,6.646942,4.700289,10.724552,1.0,4.606167,
永恒之塔,20层,688.0,pressure,tower,25.485542,19.890972,20.313143,7.98398,51.76552,0.986,49.570667,
永恒之塔,20层,688.0,base,tower,8.458807,7.03206,7.477843,5.216499,13.031787,1.0,12.1005,
永恒之塔,20层,688.0,search,tower,6.712294,5.782486,6.163735,4.773901,9.420771,1.0,7.524667,
永恒之塔,30层,988.0,pressure,tower,30.078183,23.475008,25.766712,9.699483,58.837898,0.899167,84.034833,
永恒之塔,30层,988.0,base,tower,8.412662,6.992246,7.613355,5.391927,12.514056,1.0,17.295833,
永恒之塔,30层,988.0,search,tower,6.501068,5.598994,6.020969,4.897414,8.803152,1.0,10.485,
永恒之塔,50层,1520.0,pressure,tower,31.332015,24.45554,34.633759,13.313449,45.114427,0.636833,134.6285,
永恒之塔,50层,1520.0,base,tower,8.682185,7.217237,8.089289,6.02005,12.203705,1.0,27.430167,
永恒之塔,50层,1520.0,search,tower,6.678321,5.750217,6.285057,5.454109,8.487263,1.0,16.610333,
新用户专属,机密低档,68.0,pressure,fixed,14.189538,10.706981,13.877096,9.687918,20.018788,1.0,3.843833,新客资格未确认，不参加默认可购排序。
新用户专属,机密低档,68.0,base,fixed,11.554385,9.318358,11.451511,7.951958,15.566315,1.0,2.689167,新客资格未确认，不参加默认可购排序。
新用户专属,机密低档,68.0,search,fixed,10.748805,9.120013,10.354997,7.565812,14.644736,1.0,2.0975,新客资格未确认，不参加默认可购排序。
新用户专属,机密高档,118.0,pressure,fixed,10.817749,8.157953,10.206171,8.15494,14.428184,1.0,5.096,新客资格未确认，不参加默认可购排序。
新用户专属,机密高档,118.0,base,fixed,9.445842,7.621086,9.10753,7.357934,12.100185,1.0,3.8045,新客资格未确认，不参加默认可购排序。
新用户专属,机密高档,118.0,search,fixed,8.990446,7.628629,8.749256,7.168932,10.991976,1.0,3.041333,新客资格未确认，不参加默认可购排序。
新用户专属,绝密低档,118.0,pressure,fixed,14.928686,11.65113,13.513365,8.270081,21.760703,1.0,4.980333,新客资格未确认，不参加默认可购排序。
新用户专属,绝密低档,118.0,base,fixed,12.4099,10.313854,11.061971,7.443894,17.248111,1.0,3.049833,新客资格未确认，不参加默认可购排序。
新用户专属,绝密低档,118.0,search,fixed,11.468693,9.872077,11.02973,8.433558,15.498162,1.0,2.227,新客资格未确认，不参加默认可购排序。
新用户专属,绝密中档,228.0,pressure,fixed,10.231565,7.987535,9.906235,6.601633,14.468037,1.0,6.585,新客资格未确认，不参加默认可购排序。
新用户专属,绝密中档,228.0,base,fixed,9.134039,7.595862,8.725237,7.06929,11.863354,1.0,4.317833,新客资格未确认，不参加默认可购排序。
新用户专属,绝密中档,228.0,search,fixed,8.175637,7.041238,7.892637,6.254966,10.460817,1.0,3.0485,新客资格未确认，不参加默认可购排序。
新用户专属,绝密高档,278.0,pressure,fixed,10.238601,8.002016,9.702378,7.458481,13.741076,1.0,7.983667,新客资格未确认，不参加默认可购排序。
新用户专属,绝密高档,278.0,base,fixed,8.741783,7.268403,8.530349,6.776126,11.071153,1.0,5.045833,新客资格未确认，不参加默认可购排序。
新用户专属,绝密高档,278.0,search,fixed,8.248334,7.104085,7.993613,6.538086,10.141481,1.0,3.747667,新客资格未确认，不参加默认可购排序。
机密专区,机密体验,99.0,pressure,fixed,12.893882,9.72362,12.164931,9.72003,17.197229,1.0,5.096,
机密专区,机密体验,99.0,base,fixed,11.258681,9.083718,10.85544,8.770063,14.422443,1.0,3.8045,
机密专区,机密体验,99.0,search,fixed,10.715885,9.092709,10.428406,8.544788,13.101548,1.0,3.041333,
机密专区,护航低档,68.0,pressure,fixed,14.189538,10.706981,13.877096,9.687918,20.018788,1.0,3.843833,
机密专区,护航低档,68.0,base,fixed,11.554385,9.318358,11.451511,7.951958,15.566315,1.0,2.689167,
机密专区,护航低档,68.0,search,fixed,10.748805,9.120013,10.354997,7.565812,14.644736,1.0,2.0975,
机密专区,护航中档,99.0,pressure,fixed,11.733051,8.848564,11.256776,7.725767,16.049746,1.0,4.636833,
机密专区,护航中档,99.0,base,fixed,10.253376,8.274427,9.756033,7.90894,13.376745,1.0,3.462833,
机密专区,护航中档,99.0,search,fixed,9.712797,8.24392,9.513965,7.416232,12.276341,1.0,2.751333,
机密专区,护航高档,199.0,pressure,fixed,10.854861,8.182072,10.627891,8.92722,13.166873,1.0,8.630333,
机密专区,护航高档,199.0,base,fixed,9.979445,8.05366,9.812981,8.622261,11.630805,1.0,6.766167,
机密专区,护航高档,199.0,search,fixed,9.474919,8.037244,9.34873,8.375079,10.745376,1.0,5.411667,
机密专区,作战低档,168.0,pressure,fixed,8.80504,6.640196,8.5411,6.610341,11.434372,1.0,5.905167,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,作战低档,168.0,base,fixed,8.160203,6.58932,7.988366,6.618079,10.044723,1.0,4.6625,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,作战低档,168.0,search,fixed,7.598458,6.448286,7.433309,6.235218,9.101252,1.0,3.656167,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,作战高档,438.0,pressure,fixed,8.543171,6.432102,8.434997,7.551575,9.666626,1.0,15.006333,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,作战高档,438.0,base,fixed,7.956317,6.419697,7.885633,7.283076,8.749163,1.0,11.8765,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,作战高档,438.0,search,fixed,7.62548,6.465851,7.56968,7.085271,8.224689,1.0,9.605167,当前只算原保底部分，不猜老板击杀/救人和额外战损。
机密专区,技术单陪,70.0,pressure,hourly,10.702604,8.064217,9.805886,0.428571,21.998605,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,技术单陪,70.0,base,hourly,12.552042,10.126781,12.393158,3.51998,21.37304,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,技术单陪,70.0,search,hourly,14.94595,12.682979,14.932426,7.623374,22.098368,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,技术双陪,120.0,pressure,hourly,6.243186,4.704127,5.7201,0.25,12.83252,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,技术双陪,120.0,base,hourly,7.322025,5.907289,7.229342,2.053322,12.467607,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,技术双陪,120.0,search,hourly,8.718471,7.398405,8.710582,4.446968,12.890715,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,顶级单陪,100.0,pressure,hourly,7.491823,5.644952,6.86412,0.3,15.399024,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,顶级单陪,100.0,base,hourly,8.786429,7.088747,8.675211,2.463986,14.961128,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,顶级单陪,100.0,search,hourly,10.462165,8.878085,10.452698,5.336362,15.468858,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,顶级双陪,180.0,pressure,hourly,4.162124,3.136085,3.8134,0.166667,8.555013,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。未完整计补物资/补时退款，仅给计时收益参考。
机密专区,顶级双陪,180.0,base,hourly,4.88135,3.938193,4.819561,1.368881,8.311738,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。未完整计补物资/补时退款，仅给计时收益参考。
机密专区,顶级双陪,180.0,search,hourly,5.812314,4.93227,5.807054,2.964645,8.59381,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。未完整计补物资/补时退款，仅给计时收益参考。
机密专区,魔王单陪,120.0,pressure,hourly,6.243186,4.704127,5.7201,0.25,12.83252,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,魔王单陪,120.0,base,hourly,7.322025,5.907289,7.229342,2.053322,12.467607,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
机密专区,魔王单陪,120.0,search,hourly,8.718471,7.398405,8.710582,4.446968,12.890715,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
我要亿万哈夫币,基础·巴克什／监狱,488.0,pressure,billion,26.412069,20.611425,26.260667,18.398286,34.589023,1.0,36.462833,
我要亿万哈夫币,基础·巴克什／监狱,488.0,base,billion,19.657004,16.335855,19.407431,13.656977,26.021082,1.0,19.974,
我要亿万哈夫币,基础·巴克什／监狱,488.0,search,billion,15.270859,13.14766,15.112475,10.636075,20.064331,1.0,12.208,
我要亿万哈夫币,基础·航天,588.0,pressure,billion,21.897117,17.087469,21.76087,15.240009,28.705324,1.0,36.431333,
我要亿万哈夫币,基础·航天,588.0,base,billion,16.433985,13.657065,16.253208,11.39882,21.738663,1.0,20.1235,
我要亿万哈夫币,基础·航天,588.0,search,billion,13.343194,11.4879,13.184881,9.161931,17.71193,1.0,12.853667,
我要亿万哈夫币,困难·巴克什／监狱,888.0,pressure,billion,24.819538,19.360143,24.512661,17.327787,32.636909,1.0,62.507167,
我要亿万哈夫币,困难·巴克什／监狱,888.0,base,billion,18.619439,15.473262,18.377461,13.067553,24.420062,1.0,34.468167,
我要亿万哈夫币,困难·巴克什／监狱,888.0,search,billion,14.45222,12.445505,14.186298,10.254279,18.884766,1.0,20.9675,
我要亿万哈夫币,困难·航天,1088.0,pressure,billion,20.080269,15.66429,19.826857,14.080106,26.368032,1.0,61.9425,
我要亿万哈夫币,困难·航天,1088.0,base,billion,15.13175,12.574527,14.961398,10.638392,19.825444,1.0,34.328833,
我要亿万哈夫币,困难·航天,1088.0,search,billion,11.801646,10.162661,11.666767,8.452041,15.296706,1.0,20.985667,
爽吃两亿,巴克什,688.0,pressure,twohundred,25.433912,19.854484,23.460041,14.487316,38.748411,0.999167,49.437,
爽吃两亿,巴克什,688.0,base,twohundred,13.152016,10.932153,11.981333,7.303286,20.283287,1.0,18.822,
爽吃两亿,巴克什,688.0,search,twohundred,12.532156,10.789498,11.195415,6.421781,20.282857,1.0,14.125167,
爽吃两亿,航天,788.0,pressure,twohundred,17.827802,13.912221,16.627323,10.983693,26.322539,1.0,39.758833,
爽吃两亿,航天,788.0,base,twohundred,12.192335,10.134002,11.253616,6.929745,18.63612,1.0,19.991667,
爽吃两亿,航天,788.0,search,twohundred,12.39784,10.672348,11.119389,6.314919,20.151303,1.0,16.031167,
爽吃两亿,监狱,738.0,pressure,twohundred,22.296748,17.40275,20.53723,12.923871,33.689641,0.999667,46.526333,
爽吃两亿,监狱,738.0,base,twohundred,12.260958,10.191492,11.16959,6.808483,18.90908,1.0,18.822,
爽吃两亿,监狱,738.0,search,twohundred,9.886785,8.514341,8.830218,5.143664,15.846417,1.0,11.913333,
巴克什大王,任务套餐,788.0,pressure,maptask,18.159369,14.167302,16.940051,11.388399,26.327481,1.0,40.545667,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
巴克什大王,任务套餐,788.0,base,maptask,14.333779,11.913353,13.694783,8.57489,20.575429,1.0,23.513667,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
巴克什大王,任务套餐,788.0,search,maptask,12.801842,11.021739,12.323929,8.279708,17.663647,1.0,16.5215,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
典狱长阁下,任务套餐,1088.0,pressure,maptask,37.364944,29.169299,36.250089,29.93003,45.915265,0.9885,114.812333,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
典狱长阁下,任务套餐,1088.0,base,maptask,17.604647,14.63003,16.541799,13.811265,22.645541,1.0,39.931167,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
典狱长阁下,任务套餐,1088.0,search,maptask,12.293588,10.584717,11.315821,9.201543,16.468577,1.0,21.903833,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
体验单,机密体验,118.0,pressure,fixed,9.843831,7.423795,9.444245,6.481788,13.465465,1.0,4.636833,
体验单,机密体验,118.0,base,fixed,8.602409,6.942104,8.185146,6.635467,11.222862,1.0,3.462833,
体验单,机密体验,118.0,search,fixed,8.148872,6.916509,7.982055,6.222093,10.299642,1.0,2.751333,
体验单,绝密体验1,188.0,pressure,fixed,11.424104,8.91553,11.075533,7.622074,16.361126,1.0,6.072667,
体验单,绝密体验1,188.0,base,fixed,9.579649,7.967843,9.444441,6.389808,13.058644,1.0,3.7305,
体验单,绝密体验1,188.0,search,fixed,9.075086,7.816326,8.819877,6.131454,11.836311,1.0,2.785667,
体验单,绝密体验2,288.0,pressure,fixed,9.883094,7.724168,9.36549,7.199506,13.263955,1.0,7.983667,
体验单,绝密体验2,288.0,base,fixed,8.438249,7.016028,8.234157,6.540844,10.686738,1.0,5.045833,
体验单,绝密体验2,288.0,search,fixed,7.961934,6.857415,7.716057,6.31107,9.789346,1.0,3.747667,
体验单,绝密单局,168.0,pressure,fixed,9.840415,7.694209,9.107462,5.638589,14.487139,1.0,4.630167,
体验单,绝密单局,168.0,base,fixed,9.353197,7.776161,7.851828,5.129157,14.471071,1.0,3.265,
体验单,绝密单局,168.0,search,fixed,10.120567,8.711423,8.887512,5.987064,16.417988,1.0,2.796333,
体验单,机密双护,158.0,pressure,fixed,7.351722,5.544353,7.053297,4.840829,10.056487,1.0,4.636833,
体验单,机密双护,158.0,base,fixed,6.424584,5.18461,6.112957,4.955602,8.381631,1.0,3.462833,
体验单,机密双护,158.0,search,fixed,6.085866,5.165494,5.961282,4.646879,7.692138,1.0,2.751333,
体验单,绝密双护1,228.0,pressure,fixed,9.074954,7.083443,8.842801,6.110708,13.0976,1.0,5.844833,
体验单,绝密双护1,228.0,base,fixed,7.356469,6.116084,7.270536,4.985239,10.073448,1.0,3.484833,
体验单,绝密双护1,228.0,search,fixed,6.694296,5.764679,6.473425,4.692296,9.152202,1.0,2.501333,
体验单,绝密双护2,398.0,pressure,fixed,8.005916,6.258617,7.755809,5.806045,10.55672,1.0,8.925167,
体验单,绝密双护2,398.0,base,fixed,7.126874,5.926249,6.99838,5.748915,8.823674,1.0,5.887,
体验单,绝密双护2,398.0,search,fixed,6.548744,5.64184,6.414553,5.369507,7.914008,1.0,4.243833,
体验单,绝密双护3,988.0,pressure,fixed,6.880173,5.371115,6.764747,5.828388,8.071525,1.0,19.186,
体验单,绝密双护3,988.0,base,fixed,6.179347,5.136333,6.107173,5.514159,6.941655,1.0,12.7065,
体验单,绝密双护3,988.0,search,fixed,5.827887,5.019495,5.780656,5.336679,6.392317,1.0,9.397667,
体验单,绝密双护4,1888.0,pressure,fixed,6.761708,5.277891,6.698501,6.077653,7.543832,1.0,36.071333,
体验单,绝密双护4,1888.0,base,fixed,6.13059,5.095324,6.095966,5.724638,6.587033,1.0,24.0925,
体验单,绝密双护4,1888.0,search,fixed,5.819031,5.010348,5.79644,5.534243,6.137618,1.0,17.978667,
体验单,附表机密娱乐,50.0,pressure,hourly,14.983645,11.289904,13.728241,0.6,30.798048,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密娱乐,50.0,base,hourly,17.572859,14.177493,17.350421,4.927973,29.922256,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密娱乐,50.0,search,hourly,20.924331,17.756171,20.905396,10.672724,30.937715,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密技术,60.0,pressure,hourly,12.486371,9.408254,11.440201,0.5,25.66504,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密技术,60.0,base,hourly,14.644049,11.814578,14.458684,4.106644,24.935214,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密技术,60.0,search,hourly,17.436942,14.796809,17.421163,8.893936,25.781429,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密巅峰,80.0,pressure,hourly,9.364778,7.05619,8.580151,0.375,19.24878,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密巅峰,80.0,base,hourly,10.983037,8.860933,10.844013,3.079983,18.70141,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密巅峰,80.0,search,hourly,13.077707,11.097607,13.065873,6.670452,19.336072,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密魔王,100.0,pressure,hourly,7.491823,5.644952,6.86412,0.3,15.399024,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密魔王,100.0,base,hourly,8.786429,7.088747,8.675211,2.463986,14.961128,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表机密魔王,100.0,search,hourly,10.462165,8.878085,10.452698,5.336362,15.468858,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密娱乐,70.0,pressure,hourly,15.178756,11.848507,13.021603,0.214286,35.549295,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密娱乐,70.0,base,hourly,20.596417,17.120268,18.303103,1.357143,39.716099,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密娱乐,70.0,search,hourly,26.233118,22.595028,25.887271,10.245348,42.547725,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密技术,90.0,pressure,hourly,11.805699,9.215505,10.127913,0.166667,27.649452,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密技术,90.0,base,hourly,16.019435,13.315764,14.235747,1.055556,30.890299,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密技术,90.0,search,hourly,20.403536,17.573911,20.134544,7.968604,33.092675,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密巅峰,110.0,pressure,hourly,9.659209,7.539959,8.286475,0.136364,22.622279,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密巅峰,110.0,base,hourly,13.106811,10.894716,11.647429,0.863636,25.273881,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密巅峰,110.0,search,hourly,16.693803,14.378654,16.473718,6.519767,27.075825,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密魔王,130.0,pressure,hourly,8.173176,6.379965,7.011632,0.115385,19.141928,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密魔王,130.0,base,hourly,11.090378,9.218606,9.855517,0.730769,21.385592,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
体验单,附表绝密魔王,130.0,search,hourly,14.125525,12.166553,13.9393,5.516726,22.910314,1.0,3.0,统一1小时分母、每小时3局、含整备平均20分钟/局仅是假设。
沙色保险,单局达标,188.0,pressure,sand,49.125091,38.341743,37.001079,12.975823,102.964276,1.0,26.106667,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,单局达标,188.0,base,sand,28.741393,23.885254,22.653897,8.501455,57.363895,1.0,11.262667,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,单局达标,188.0,search,sand,22.482239,19.361201,18.192502,5.92278,44.797841,1.0,6.9105,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计2局,358.0,pressure,sand,49.425509,38.577237,42.052955,18.425602,90.451728,0.997667,50.012167,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计2局,358.0,base,sand,28.653111,23.822993,24.936679,12.157417,50.513189,1.0,21.289667,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计2局,358.0,search,sand,22.275677,19.186037,19.716429,10.065383,37.305674,1.0,13.005833,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计5局,888.0,pressure,sand,47.149529,36.797185,45.691452,26.071381,70.970004,0.918,118.412667,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计5局,888.0,base,sand,27.719952,23.038366,26.169027,15.964116,41.356259,1.0,51.282333,1/2/5局已核；同局2沙色概率与许愿率均为假设。
沙色保险,累计5局,888.0,search,sand,21.204243,18.254682,20.201692,12.963014,30.881352,1.0,30.860833,1/2/5局已核；同局2沙色概率与许愿率均为假设。
监狱管理者,任务套餐,1888.0,pressure,maptask,29.711885,23.193237,29.681705,25.601175,33.775018,0.914,158.473667,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
监狱管理者,任务套餐,1888.0,base,maptask,13.416222,11.149909,13.217917,11.588178,15.305887,1.0,52.801167,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
监狱管理者,任务套餐,1888.0,search,maptask,9.602366,8.267225,9.266653,7.948043,11.666347,1.0,29.698333,访问/开卡/保险/BOSS概率和满卡次数为明示假设，不是实测地图数据。
海龟汤,基础版,348.0,pressure,turtle,8.898154,6.953059,8.747329,6.068015,11.822036,1.0,8.696167,
海龟汤,基础版,348.0,base,turtle,6.686669,5.561723,6.523347,4.720455,8.806036,1.0,4.821,
海龟汤,基础版,348.0,search,turtle,5.932073,5.11005,5.891729,4.267096,7.626294,1.0,3.368333,
海龟汤,大版,788.0,pressure,turtle,28.915602,22.570007,20.422763,5.443494,70.30181,0.9245,64.3995,
海龟汤,大版,788.0,base,turtle,6.726319,5.590925,5.258539,4.13699,11.416357,1.0,11.029333,
海龟汤,大版,788.0,search,turtle,4.690482,4.040176,4.517256,3.952962,5.507697,1.0,6.0345,
海龟汤,阶段版,1288.0,pressure,turtle,15.690303,12.248828,11.988129,5.627092,33.423793,0.958333,57.0665,
海龟汤,阶段版,1288.0,base,turtle,7.017969,5.833812,6.441061,4.284896,10.378578,1.0,18.798833,
海龟汤,阶段版,1288.0,search,turtle,5.039059,4.340353,4.828588,3.624529,6.703172,1.0,10.583167,
骰子大王,体验版,388.0,pressure,dice,13.356352,10.426666,9.903412,5.987957,24.947796,1.0,14.631167,
骰子大王,体验版,388.0,base,dice,9.631917,8.009389,7.686136,4.740638,17.130987,1.0,7.753,
骰子大王,体验版,388.0,search,dice,8.156308,7.026179,6.610896,4.029856,14.210867,1.0,5.157167,
骰子大王,尊享版,1188.0,pressure,dice,10.522811,8.213704,9.276939,4.78856,17.748445,1.0,35.3285,
骰子大王,尊享版,1188.0,base,dice,8.383773,6.968837,7.730559,4.552033,12.973018,1.0,20.724,
骰子大王,尊享版,1188.0,search,dice,7.570727,6.518968,7.055231,4.388816,11.479737,1.0,14.703167,
法外狂徒,击杀玩法,788.0,pressure,unmodeled,,,,,,,,加人头的方向未明确，暂不输出单一EV。
法外狂徒,击杀玩法,788.0,base,unmodeled,,,,,,,,加人头的方向未明确，暂不输出单一EV。
法外狂徒,击杀玩法,788.0,search,unmodeled,,,,,,,,加人头的方向未明确，暂不输出单一EV。
超级黑洞,航天4点,688.0,pressure,blackhole,10.251122,8.000159,9.09329,4.913218,17.199381,1.0,19.952167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天4点,688.0,base,blackhole,8.735193,7.259428,7.864101,4.152839,14.536852,1.0,12.515333,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天4点,688.0,search,blackhole,7.815027,6.73185,7.16451,3.860861,12.733631,1.0,8.765167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天5点,1288.0,pressure,blackhole,10.032522,7.829015,9.051816,4.572962,16.736563,1.0,36.556167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天5点,1288.0,base,blackhole,8.865371,7.365943,8.049868,4.285045,14.667539,1.0,23.832167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天5点,1288.0,search,blackhole,8.210138,7.068292,7.577268,4.053537,13.18123,1.0,17.325333,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天6点,2588.0,pressure,blackhole,9.143094,7.134288,8.316445,4.09903,15.387133,0.996333,66.978,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天6点,2588.0,base,blackhole,8.413047,6.990337,7.728481,4.058185,13.559819,1.0,45.454167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天6点,2588.0,search,blackhole,7.8513,6.758944,7.291748,3.944043,12.432469,1.0,33.327167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天7点,5888.0,pressure,blackhole,6.911839,5.395427,6.612432,3.097247,11.187037,0.889,114.953,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天7点,5888.0,base,blackhole,7.107227,5.906064,6.556507,3.281795,11.805853,0.981,87.296833,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,航天7点,5888.0,search,blackhole,6.673347,5.745608,6.182759,3.224231,10.789594,0.999667,64.358833,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱8点,888.0,pressure,blackhole,8.757798,6.835207,7.697473,4.038339,14.924136,1.0,21.987333,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱8点,888.0,base,blackhole,7.255255,6.030184,6.495896,3.317983,12.289546,1.0,13.4055,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱8点,888.0,search,blackhole,6.455245,5.56071,5.879157,3.140937,10.732207,1.0,9.340833,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱9点,1588.0,pressure,blackhole,7.84997,6.126807,7.043701,3.628853,13.212214,1.0,35.237,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱9点,1588.0,base,blackhole,6.794954,5.645661,6.160204,3.333244,11.060614,1.0,22.5155,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱9点,1588.0,search,blackhole,6.174719,5.316419,5.701168,3.118687,9.919579,1.0,16.053333,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱11点,3388.0,pressure,blackhole,7.128092,5.562282,6.47748,3.12824,12.128258,0.993667,68.342333,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱11点,3388.0,base,blackhole,6.391866,5.310886,5.855092,3.049194,10.396974,1.0,45.2155,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱11点,3388.0,search,blackhole,5.910641,5.088228,5.495324,2.928548,9.456545,1.0,32.847833,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱13点,9888.0,pressure,blackhole,4.729792,3.692385,4.797819,2.121757,7.179049,0.780833,132.061167,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
超级黑洞,监狱13点,9888.0,base,blackhole,5.126149,4.259614,4.796739,2.207866,8.692175,0.9245,105.806,q为收益覆盖率假设，非平均出生率；另计算q变化情景。
