玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
狗牌收集计划,狗牌保卫战高档,1288.0,search,dog,13.966305,12.024035,13.901753,11.671884,16.320927,1.0,29.477833,任务牌值不等于老板实际带出；价值门槛档只计队内击杀。
淘金大作战,体验版,588.0,pressure,gold,16.899866,13.18054,16.634901,11.021254,23.102851,1.0,28.188667,
淘金大作战,体验版,588.0,base,gold,9.825999,8.16891,9.384932,6.733188,13.488138,1.0,12.009167,
淘金大作战,体验版,588.0,search,gold,7.603037,6.549977,7.182872,5.979075,9.870421,1.0,7.281167,
淘金大作战,正常版,1088.0,pressure,gold,16.65103,12.989518,16.322441,11.266776,22.551532,1.0,51.357667,
淘金大作战,正常版,1088.0,base,gold,7.916032,6.577996,7.784488,5.262628,10.710972,1.0,17.947667,
淘金大作战,正常版,1088.0,search,gold,5.31316,4.575796,5.159297,3.631151,7.174983,1.0,9.435333,
淘金大作战,狂暴版,1688.0,pressure,gold,24.105772,18.818566,23.977528,18.215488,30.321077,0.994833,114.913333,
淘金大作战,狂暴版,1688.0,base,gold,11.587646,9.629638,11.519254,8.675702,14.612218,1.0,40.793,
淘金大作战,狂暴版,1688.0,search,gold,8.447282,7.272293,8.397799,6.380258,10.600815,1.0,23.373667,
黄金大矿工,金红小王,588.0,pressure,miner,22.175351,17.303223,22.089585,17.284909,27.134528,1.0,36.916333,基线988另补；同时计算按补差额解释。
黄金大矿工,金红小王,588.0,base,miner,11.105459,9.23118,10.97988,8.89263,13.482064,1.0,13.575,基线988另补；同时计算按补差额解释。
黄金大矿工,金红小王,588.0,search,miner,8.310389,7.159255,8.198433,6.610226,10.14954,1.0,7.96,基线988另补；同时计算按补差额解释。
黄金大矿工,全红大师,988.0,pressure,miner,19.637035,15.321814,19.505862,16.109749,23.282087,1.0,54.952333,基线988另补；同时计算按补差额解释。
黄金大矿工,全红大师,988.0,base,miner,11.238716,9.341145,11.208298,9.322878,13.251479,1.0,23.1065,基线988另补；同时计算按补差额解释。
黄金大矿工,全红大师,988.0,search,miner,8.907238,7.669067,8.90234,7.329748,10.458939,1.0,14.404833,基线988另补；同时计算按补差额解释。
小香手,小香手／幼儿园费用,588.0,pressure,hand,17.381472,13.565821,12.678722,5.566214,34.603946,0.9985,28.895,
小香手,小香手／幼儿园费用,588.0,base,hand,8.715388,7.243611,7.869785,4.072532,14.459018,1.0,10.672833,
小香手,小香手／幼儿园费用,588.0,search,hand,6.891439,5.935819,6.49326,3.748501,10.381582,1.0,6.6145,
一命通关,基础版,588.0,pressure,challenge,9.564836,7.360967,9.377813,7.235854,12.113773,1.0,17.7255,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,基础版,588.0,base,challenge,9.990145,8.23049,9.543696,7.059004,13.521115,1.0,13.825,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,基础版,588.0,search,challenge,8.903489,7.633105,8.512795,6.526317,11.818425,1.0,9.756333,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,进阶版,1288.0,pressure,challenge,34.006559,25.992948,38.706843,10.959486,47.285163,0.423,154.484167,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,进阶版,1288.0,base,challenge,30.624917,25.127848,27.838529,6.67316,56.979359,0.785667,104.246167,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,进阶版,1288.0,search,challenge,16.562305,14.179648,12.187506,4.87291,34.460422,0.991667,43.742167,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,地狱版,2688.0,pressure,challenge,17.20873,13.126171,19.000283,6.532469,22.574096,0.3265,166.394667,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,地狱版,2688.0,base,challenge,17.05195,13.947523,18.212076,4.742221,27.133009,0.6405,127.424,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
一命通关,地狱版,2688.0,search,challenge,11.003793,9.405606,7.863465,4.325527,24.02184,0.961667,63.993667,跨地图价值倍率大坝.48/巴克什.9/航天1/监狱.9和胜率偏移均为假设，不套用个人26局。
大红爆仓,25格,488.0,pressure,bigred,31.266746,24.383407,29.157472,14.969305,50.284309,1.0,43.327833,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,25格,488.0,base,bigred,14.801823,12.305921,13.789989,7.344131,23.421949,1.0,14.998,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,25格,488.0,search,bigred,8.978981,7.732546,8.064173,5.533476,13.589515,1.0,7.164333,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,50格,788.0,pressure,bigred,35.872311,27.989324,34.739626,21.631314,51.19439,0.998167,80.038667,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,50格,788.0,base,bigred,16.677564,13.859409,16.113356,9.992095,24.031379,1.0,27.3915,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,50格,788.0,search,bigred,9.579716,8.249685,9.218886,5.847012,13.738355,1.0,12.345,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,66格,1888.0,pressure,bigred,20.775327,16.216203,20.280158,13.295209,28.936379,0.979,110.8535,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,66格,1888.0,base,bigred,9.288309,7.717797,9.001362,5.964507,12.871397,1.0,36.603667,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,66格,1888.0,search,bigred,5.777507,4.97451,5.409422,4.985115,7.181474,1.0,17.8555,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,368格,6888.0,pressure,bigred,10.278088,8.023298,10.259713,8.656103,11.898969,0.0,200.0,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,368格,6888.0,base,bigred,12.642401,10.50637,12.720806,10.971004,14.201481,0.650333,181.669833,368格枪计入冲突：基线不计，另给计枪解释。
大红爆仓,368格,6888.0,search,bigred,7.312854,6.295795,7.261266,6.118865,8.552073,1.0,82.5945,368格枪计入冲突：基线不计，另给计枪解释。
三幻神专区,任意一个三幻神,488.0,pressure,legend,29.644154,23.14069,20.590566,8.151976,65.326936,0.995833,40.878333,三目标成功局概率为明示假设，非官方掉率；默认目标须成功带出。
